                  FilterID         Wavelength               Obs.Flux              Obs.Error                   Flux                  Error          Point Props                                            Service               RA (VO)               DEC (VO)               dis (VO)             dis_2 (VO)    Nobjs          Obj.Name (VO)    Obs.Date (VO)    Obs.Qua (VO)    insed           mag (VO)           e_mag (VO) 
          Generic/Johnson.V    5467.5739972259    5.0983390722418E-13    1.0388474764752E-13    5.0983390722418E-13    1.0388474764752E-13                  ---           calc:gaiadr3_phot_vizflx.jkc_V,UBVmerm.V                   ---                    ---    0.00025565068230449                    ---        1                    ---              ---             ---        1                ---                  --- 
          Generic/Johnson.V    5467.5739972259            5.09988E-13            3.49845E-15            5.09988E-13            3.49845E-15                  ---                          gaiadr3_phot_vizflx.jkc_V       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---      ---                ---                  --- 
          Generic/Johnson.V    5467.5739972259    5.0336471245086E-13                      0    5.0336471245086E-13                      0                  ---                                          UBVmerm.V           193.3866350            -22.8729356     2.5670064528289E-5                    ---        1            BD-22_03467              ---             ---      ---              9.631                    0 
          HST/ACS_WFC.F606W    5809.2597751466            5.14792E-13            2.30272E-15            5.14792E-13            2.30272E-15                  ---                           gaiadr3_phot_vizflx.606w       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---        1                ---                  --- 
               GAIA/GAIA3.G    5822.3887136979    4.5213989978618E-13    1.3954778311192E-15    4.5213989978618E-13    1.3954778311192E-15                  ---                                      gaiadr3_viz.G       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---        1           9.358344             0.003351 
               SLOAN/SDSS.r    6141.1230039377    5.3200208805836E-13    8.1691041494664E-15    5.3200208805836E-13    8.1691041494664E-15                  ---    calc:cmc14.r,cmc15.r,gaiadr3_phot_vizflx.sdss_r                   ---                    ---    0.00025565068230449                    ---        1                    ---              ---             ---        1                ---                  --- 
               SLOAN/SDSS.r    6141.1230039377    5.3099644098436E-13    9.2922501197704E-15    5.3099644098436E-13    9.2922501197704E-15                  ---                                            cmc14.r          193.38656497           -22.87295902     4.5153246184272E-5                    ---        1        125332.7-225222       2004-03-12             ---      ---              9.326                0.019 
               SLOAN/SDSS.r    6141.1230039377    5.2661304159207E-13    1.0185599250508E-14    5.2661304159207E-13    1.0185599250508E-14                  ---                                            cmc15.r          193.38653994           -22.87295103     6.3702042252201E-5                    ---        1        125332.7-225222       2005-08-27             ---      ---              9.335                0.021 
               SLOAN/SDSS.r    6141.1230039377    5.1604979542581E-13    4.7529942647604E-16    5.1604979542581E-13    4.7529942647604E-16            nofit,bad                                           sdss12.r          193.38662863           -22.87296355     3.3926090022788E-5                    ---        1    J125332.79-225222.6        2000.3373               1      ---              9.357                0.001 
               SLOAN/SDSS.r    6141.1230039377    5.3402853508834E-13    3.1796923489814E-15    5.3402853508834E-13    3.1796923489814E-15                  ---                         gaiadr3_phot_vizflx.sdss_r       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---      ---                ---                  --- 
          Generic/Johnson.R    6695.8342495754            5.09284E-13             2.5499E-15            5.09284E-13             2.5499E-15                  ---                          gaiadr3_phot_vizflx.jkc_R       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---        1                ---                  --- 
               SLOAN/SDSS.i     7457.889035897    4.6274238987129E-13    1.6781445584504E-15    4.6274238987129E-13    1.6781445584504E-15                  ---                         gaiadr3_phot_vizflx.sdss_i       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---        1                ---                  --- 
               SLOAN/SDSS.i     7457.889035897     4.068984076076E-14    2.9981382647049E-16     4.068984076076E-14    2.9981382647049E-16            nofit,bad                                           sdss12.i          193.38662863           -22.87296355     3.3926090022788E-5                    ---        1    J125332.79-225222.6        2000.3373               1      ---             11.696                0.008 
